hotel,fecha,nivel,cantidad
demo-centro,2024-01-01,Member (MRD),2
demo-centro,2024-01-01,Silver Elite (SLR),4
demo-centro,2024-01-01,Platinum Elite (PLT),4
demo-centro,2024-01-01,Titanium Elite (TTM),1
demo-costa,2024-01-01,Silver Elite (SLR),4
demo-costa,2024-01-01,Gold Elite (GLD),3
demo-costa,2024-01-01,Titanium Elite (TTM),4
demo-centro,2024-01-02,Member (MRD),3
demo-centro,2024-01-02,Gold Elite (GLD),1
demo-centro,2024-01-02,Titanium Elite (TTM),4
demo-costa,2024-01-02,Silver Elite (SLR),4
demo-costa,2024-01-02,Gold Elite (GLD),2
demo-costa,2024-01-02,Platinum Elite (PLT),4
demo-costa,2024-01-02,Titanium Elite (TTM),1
demo-centro,2024-01-03,Member (MRD),4
demo-centro,2024-01-03,Gold Elite (GLD),4
demo-centro,2024-01-03,Platinum Elite (PLT),1
demo-centro,2024-01-03,Titanium Elite (TTM),3
demo-costa,2024-01-03,Member (MRD),4
demo-costa,2024-01-03,Silver Elite (SLR),3
demo-costa,2024-01-03,Gold Elite (GLD),2
demo-costa,2024-01-03,Platinum Elite (PLT),2
demo-costa,2024-01-03,Titanium Elite (TTM),1
demo-centro,2024-01-04,Member (MRD),2
demo-centro,2024-01-04,Silver Elite (SLR),3
demo-centro,2024-01-04,Gold Elite (GLD),2
demo-centro,2024-01-04,Platinum Elite (PLT),4
demo-costa,2024-01-04,Member (MRD),1
demo-costa,2024-01-04,Silver Elite (SLR),3
demo-costa,2024-01-04,Gold Elite (GLD),3
demo-centro,2024-01-05,Member (MRD),4
demo-centro,2024-01-05,Silver Elite (SLR),3
demo-centro,2024-01-05,Gold Elite (GLD),4
demo-centro,2024-01-05,Platinum Elite (PLT),3
demo-costa,2024-01-05,Gold Elite (GLD),2
demo-costa,2024-01-05,Platinum Elite (PLT),4
demo-costa,2024-01-05,Titanium Elite (TTM),3
demo-centro,2024-01-06,Member (MRD),1
demo-centro,2024-01-06,Silver Elite (SLR),4
demo-centro,2024-01-06,Platinum Elite (PLT),3
demo-costa,2024-01-06,Member (MRD),3
demo-costa,2024-01-06,Silver Elite (SLR),3
demo-costa,2024-01-06,Gold Elite (GLD),3
demo-costa,2024-01-06,Titanium Elite (TTM),1
demo-centro,2024-01-07,Member (MRD),2
demo-centro,2024-01-07,Silver Elite (SLR),3
demo-centro,2024-01-07,Gold Elite (GLD),2
demo-centro,2024-01-07,Platinum Elite (PLT),3
demo-centro,2024-01-07,Titanium Elite (TTM),1
demo-costa,2024-01-07,Member (MRD),1
demo-costa,2024-01-07,Gold Elite (GLD),3
demo-costa,2024-01-07,Platinum Elite (PLT),4
demo-costa,2024-01-07,Titanium Elite (TTM),1
demo-centro,2024-01-08,Member (MRD),1
demo-centro,2024-01-08,Silver Elite (SLR),4
demo-centro,2024-01-08,Gold Elite (GLD),4
demo-centro,2024-01-08,Titanium Elite (TTM),3
demo-costa,2024-01-08,Member (MRD),4
demo-costa,2024-01-08,Silver Elite (SLR),3
demo-costa,2024-01-08,Gold Elite (GLD),3
demo-costa,2024-01-08,Platinum Elite (PLT),3
demo-costa,2024-01-08,Titanium Elite (TTM),3
demo-centro,2024-01-09,Member (MRD),1
demo-centro,2024-01-09,Gold Elite (GLD),2
demo-centro,2024-01-09,Platinum Elite (PLT),4
demo-costa,2024-01-09,Member (MRD),2
demo-costa,2024-01-09,Silver Elite (SLR),4
demo-costa,2024-01-09,Titanium Elite (TTM),1
demo-centro,2024-01-10,Gold Elite (GLD),3
demo-centro,2024-01-10,Platinum Elite (PLT),3
demo-centro,2024-01-10,Titanium Elite (TTM),3
demo-costa,2024-01-10,Member (MRD),2
demo-costa,2024-01-10,Silver Elite (SLR),2
demo-costa,2024-01-10,Gold Elite (GLD),3
demo-costa,2024-01-10,Platinum Elite (PLT),1
demo-costa,2024-01-10,Titanium Elite (TTM),4
demo-centro,2024-01-11,Silver Elite (SLR),4
demo-centro,2024-01-11,Gold Elite (GLD),2
demo-centro,2024-01-11,Titanium Elite (TTM),2
demo-costa,2024-01-11,Member (MRD),1
demo-costa,2024-01-11,Silver Elite (SLR),4
demo-costa,2024-01-11,Gold Elite (GLD),4
demo-costa,2024-01-11,Platinum Elite (PLT),4
demo-costa,2024-01-11,Titanium Elite (TTM),2
demo-centro,2024-01-12,Member (MRD),1
