fecha,hotel_id,hotel,habitaciones_disponibles,habitaciones_ocupadas,habitaciones_fuera_servicio,huespedes,llegadas,salidas,ocupacion_pct,adr,ingreso_habitaciones,ingreso_ayb,ingreso_otros,ingreso_total,origen,actualizado
2024-01-01,hotel-demo-1,Hotel Demo Centro,120,62,0,124,24,24,51.67,73721.25,4570717.60,873752.24,105468.65,5549938.49,demo,
2024-01-01,hotel-demo-2,Hotel Demo Costa,63,60,1,121,24,21,95.24,114945.28,6896716.61,1688001.99,139278.94,8723997.54,demo,
2024-01-02,hotel-demo-1,Hotel Demo Centro,119,62,1,127,22,20,52.10,72549.24,4498053.10,915148.08,174790.72,5587991.89,demo,
2024-01-02,hotel-demo-2,Hotel Demo Costa,64,57,0,113,23,18,89.06,110213.32,6282159.50,1309338.09,251947.61,7843445.20,demo,
2024-01-03,hotel-demo-1,Hotel Demo Centro,120,59,0,107,20,26,49.17,73773.07,4352610.91,794647.55,128243.55,5275502.01,demo,
2024-01-03,hotel-demo-2,Hotel Demo Costa,62,61,2,118,22,27,98.39,114639.12,6992986.48,1676646.17,229740.69,8899373.34,demo,
2024-01-04,hotel-demo-1,Hotel Demo Centro,119,57,1,97,23,23,47.90,76136.94,4339805.34,1118308.25,198864.60,5656978.19,demo,
2024-01-04,hotel-demo-2,Hotel Demo Costa,64,63,0,110,25,27,98.44,119721.93,7542481.43,1817413.52,265725.02,9625619.97,demo,
2024-01-05,hotel-demo-1,Hotel Demo Centro,120,68,0,117,29,30,56.67,78882.67,5364021.84,1322409.70,156765.81,6843197.35,demo,
2024-01-05,hotel-demo-2,Hotel Demo Costa,64,63,0,131,26,25,98.44,114776.73,7230933.94,1652467.35,353816.01,9237217.31,demo,
2024-01-06,hotel-demo-1,Hotel Demo Centro,118,77,2,138,34,33,65.25,73963.64,5695200.36,1057481.65,221731.74,6974413.75,demo,
2024-01-06,hotel-demo-2,Hotel Demo Costa,63,62,1,116,23,23,98.41,118116.73,7323237.31,1429736.07,167760.17,8920733.55,demo,
2024-01-07,hotel-demo-1,Hotel Demo Centro,119,61,1,106,26,26,51.26,73769.75,4499954.55,976536.24,208053.50,5684544.30,demo,
2024-01-07,hotel-demo-2,Hotel Demo Costa,63,59,1,109,26,20,93.65,111442.07,6575082.12,1394464.61,143067.62,8112614.35,demo,
2024-01-08,hotel-demo-1,Hotel Demo Centro,118,58,2,100,22,25,49.15,78067.34,4527905.70,837103.84,133157.30,5498166.84,demo,
2024-01-08,hotel-demo-2,Hotel Demo Costa,62,61,2,114,24,23,98.39,111944.34,6828604.95,1553927.81,263457.45,8645990.20,demo,
2024-01-09,hotel-demo-1,Hotel Demo Centro,119,63,1,121,24,20,52.94,77282.99,4868828.28,1095678.64,111980.31,6076487.23,demo,
2024-01-09,hotel-demo-2,Hotel Demo Costa,62,58,2,114,26,19,93.55,109332.84,6341304.86,1555955.39,183779.66,8081039.90,demo,
2024-01-10,hotel-demo-1,Hotel Demo Centro,120,63,0,107,26,25,52.50,73329.60,4619765.08,988103.36,130741.23,5738609.67,demo,
2024-01-10,hotel-demo-2,Hotel Demo Costa,62,61,2,114,19,22,98.39,109784.26,6696839.87,1403237.60,244941.96,8345019.43,demo,
2024-01-11,hotel-demo-1,Hotel Demo Centro,120,75,0,151,24,27,62.50,79793.44,5984507.68,1190551.89,148864.95,7323924.51,demo,
2024-01-11,hotel-demo-2,Hotel Demo Costa,64,55,0,98,24,19,85.94,113905.27,6264790.10,1147070.34,213759.03,7625619.47,demo,
2024-01-12,hotel-demo-1,Hotel Demo Centro,118,66,2,119,26,30,55.93,75329.63,4971755.60,905893.86,230247.73,6107897.19,demo,
2024-01-12,hotel-demo-2,Hotel Demo Costa,64,63,0,130,24,26,98.44,112562.14,7091414.73,1678557.88,142188.10,8912160.72,demo,
2024-01-13,hotel-demo-1,Hotel Demo Centro,120,70,0,135,23,28,58.33,77992.28,5459459.64,1125165.33,223380.63,6808005.60,demo,
2024-01-13,hotel-demo-2,Hotel Demo Costa,62,61,2,120,23,26,98.39,116758.09,7122243.64,1465614.86,236840.10,8824698.60,demo,
2024-01-14,hotel-demo-1,Hotel Demo Centro,120,59,0,115,25,22,49.17,74092.30,4371445.43,803021.84,216465.59,5390932.85,demo,
2024-01-14,hotel-demo-2,Hotel Demo Costa,64,60,0,119,22,23,93.75,118879.54,7132772.31,1408774.54,314721.42,8856268.26,demo,
