grupo,fecha,estado,concepto,moneda,tipo_moneda,importe
demo,2025-08-21,Real,DISPONIBILIDADES,Local,ARS,1573407181.69
demo,2025-08-21,Real,Moneda extranjera,Local,ARS,987513014.7
demo,2025-08-21,Real,Moneda extranjera,Extranjera,USD,738398.0
demo,2025-08-21,Real,Tipo de cambio USD,Local,USD,1337.37
demo,2025-08-21,Real,Bancos pesos,Local,ARS,155472868.74
demo,2025-08-21,Real,Inversiones,Local,ARS,486297402.05
demo,2025-08-21,Proyectado,Cobranzas Proyectadas,Local,ARS,12911901.82
demo,2025-08-21,Proyectado,Pagos programados,Local,ARS,-68788005.61
demo,2025-08-22,Real,DISPONIBILIDADES,Local,ARS,1124743836.93
demo,2025-08-22,Real,Moneda extranjera,Local,ARS,673496635.32
demo,2025-08-22,Real,Moneda extranjera,Extranjera,USD,503596.97
demo,2025-08-22,Real,Tipo de cambio USD,Local,USD,1337.37
demo,2025-08-22,Real,Bancos pesos,Local,ARS,108464867.28
demo,2025-08-22,Real,Inversiones,Local,ARS,360806488.23
demo,2025-08-22,Proyectado,Cobranzas Proyectadas,Local,ARS,14606504.11
demo,2025-08-22,Proyectado,Pagos programados,Local,ARS,-32630658.01
demo,2025-08-23,Real,DISPONIBILIDADES,Local,ARS,1531454238.9
demo,2025-08-23,Real,Moneda extranjera,Local,ARS,1043456252.74
demo,2025-08-23,Real,Moneda extranjera,Extranjera,USD,780228.71
demo,2025-08-23,Real,Tipo de cambio USD,Local,USD,1337.37
demo,2025-08-23,Real,Bancos pesos,Local,ARS,144138569.0
demo,2025-08-23,Real,Inversiones,Local,ARS,365499519.46
demo,2025-08-23,Proyectado,Cobranzas Proyectadas,Local,ARS,35255768.38
demo,2025-08-23,Proyectado,Pagos programados,Local,ARS,-56895870.68
demo,2025-08-24,Real,DISPONIBILIDADES,Local,ARS,1566927919.28
demo,2025-08-24,Real,Moneda extranjera,Local,ARS,1060504513.75
demo,2025-08-24,Real,Moneda extranjera,Extranjera,USD,792976.29
demo,2025-08-24,Real,Tipo de cambio USD,Local,USD,1337.37
demo,2025-08-24,Real,Bancos pesos,Local,ARS,130746957.79
demo,2025-08-24,Real,Inversiones,Local,ARS,417307968.43
demo,2025-08-24,Proyectado,Cobranzas Proyectadas,Local,ARS,28610177.13
demo,2025-08-24,Proyectado,Pagos programados,Local,ARS,-70241697.82
demo,2025-08-25,Real,DISPONIBILIDADES,Local,ARS,1366224865.64
demo,2025-08-25,Real,Moneda extranjera,Local,ARS,811680075.32
demo,2025-08-25,Real,Moneda extranjera,Extranjera,USD,606921.56
demo,2025-08-25,Real,Tipo de cambio USD,Local,USD,1337.37
demo,2025-08-25,Real,Bancos pesos,Local,ARS,151953223.86
demo,2025-08-25,Real,Inversiones,Local,ARS,466824932.75
demo,2025-08-25,Proyectado,Cobranzas Proyectadas,Local,ARS,14499460.65
demo,2025-08-25,Proyectado,Pagos programados,Local,ARS,-78732826.94
demo,2025-08-26,Real,DISPONIBILIDADES,Local,ARS,1122116137.6
demo,2025-08-26,Real,Moneda extranjera,Local,ARS,687425122.78
demo,2025-08-26,Real,Moneda extranjera,Extranjera,USD,514011.79
demo,2025-08-26,Real,Tipo de cambio USD,Local,USD,1337.37
demo,2025-08-26,Real,Bancos pesos,Local,ARS,106367419.51
demo,2025-08-26,Real,Inversiones,Local,ARS,373414515.37
demo,2025-08-26,Proyectado,Cobranzas Proyectadas,Local,ARS,34408389.76
demo,2025-08-26,Proyectado,Pagos programados,Local,ARS,-79499309.82
demo,2025-08-27,Real,DISPONIBILIDADES,Local,ARS,1576046336.65
demo,2025-08-27,Real,Moneda extranjera,Local,ARS,1069589009.59
demo,2025-08-27,Real,Moneda extranjera,Extranjera,USD,799769.09
demo,2025-08-27,Real,Tipo de cambio USD,Local,USD,1337.37
demo,2025-08-27,Real,Bancos pesos,Local,ARS,127102153.96
demo,2025-08-27,Real,Inversiones,Local,ARS,392675196.78
demo,2025-08-27,Proyectado,Cobranzas Proyectadas,Local,ARS,33451561.33
demo,2025-08-27,Proyectado,Pagos programados,Local,ARS,-46771585.02
demo,2025-08-28,Real,DISPONIBILIDADES,Local,ARS,1441531636.68
demo,2025-08-28,Real,Moneda extranjera,Local,ARS,962846647.24
demo,2025-08-28,Real,Moneda extranjera,Extranjera,USD,719954.09
demo,2025-08-28,Real,Tipo de cambio USD,Local,USD,1337.37
demo,2025-08-28,Real,Bancos pesos,Local,ARS,119374203.82
demo,2025-08-28,Real,Inversiones,Local,ARS,414291294.97
demo,2025-08-28,Proyectado,Cobranzas Proyectadas,Local,ARS,15670783.81
demo,2025-08-28,Proyectado,Pagos programados,Local,ARS,-70651293.15
demo,2025-08-29,Real,DISPONIBILIDADES,Local,ARS,1282765673.53
demo,2025-08-29,Real,Moneda extranjera,Local,ARS,792297049.51
demo,2025-08-29,Real,Moneda extranjera,Extranjera,USD,592428.2
demo,2025-08-29,Real,Tipo de cambio USD,Local,USD,1337.37
demo,2025-08-29,Real,Bancos pesos,Local,ARS,127628343.87
