hotel,fecha,fecha_reporte,concepto,dia,mes,anio
demo-centro,2025-08-21,2025-08-22,Total Rooms in Hotel,220,4620,51260
demo-centro,2025-08-21,2025-08-22,Rooms Occupied minus House Use,147,3119,33133
demo-centro,2025-08-21,2025-08-22,Room Revenue,25540.12,517823.72,5488197.23
demo-centro,2025-08-21,2025-08-22,Total Revenue,33493.64,661800.05,7030588.81
demo-centro,2025-08-21,2025-08-22,Food And Beverage Revenue,7187.32,128441.62,1377745.66
demo-centro,2025-08-21,2025-08-22,Other Revenue,766.2,0,0
demo-costa,2025-08-21,2025-08-22,Total Rooms in Hotel,140,2940,32620
demo-costa,2025-08-21,2025-08-22,Rooms Occupied minus House Use,61,1218,20405
demo-costa,2025-08-21,2025-08-22,Room Revenue,8952.03,179812.3,3203568.0
demo-costa,2025-08-21,2025-08-22,Total Revenue,11059.7,229045.82,4093645.56
demo-costa,2025-08-21,2025-08-22,Food And Beverage Revenue,1839.11,43839.15,793970.52
demo-costa,2025-08-21,2025-08-22,Other Revenue,268.56,0,0
demo-centro,2025-08-22,2025-08-23,Total Rooms in Hotel,220,4840,51480
demo-centro,2025-08-22,2025-08-23,Rooms Occupied minus House Use,156,3275,33289
demo-centro,2025-08-22,2025-08-23,Room Revenue,26189.75,544013.47,5514386.97
demo-centro,2025-08-22,2025-08-23,Total Revenue,33912.38,695712.43,7064501.18
demo-centro,2025-08-22,2025-08-23,Food And Beverage Revenue,6936.94,135378.56,1384682.6
demo-centro,2025-08-22,2025-08-23,Other Revenue,785.69,0,0
demo-costa,2025-08-22,2025-08-23,Total Rooms in Hotel,140,3080,32760
demo-costa,2025-08-22,2025-08-23,Rooms Occupied minus House Use,68,1286,20473
demo-costa,2025-08-22,2025-08-23,Room Revenue,10300.1,190112.4,3213868.11
demo-costa,2025-08-22,2025-08-23,Total Revenue,12726.71,241772.53,4106372.27
demo-costa,2025-08-22,2025-08-23,Food And Beverage Revenue,2117.6,45956.75,796088.12
demo-costa,2025-08-22,2025-08-23,Other Revenue,309.0,0,0
demo-centro,2025-08-23,2025-08-24,Total Rooms in Hotel,220,5060,51700
demo-centro,2025-08-23,2025-08-24,Rooms Occupied minus House Use,160,3435,33449
demo-centro,2025-08-23,2025-08-24,Room Revenue,25610.68,569624.14,5539997.65
demo-centro,2025-08-23,2025-08-24,Total Revenue,31900.36,727612.78,7096401.54
demo-centro,2025-08-23,2025-08-24,Food And Beverage Revenue,5521.36,140899.92,1390203.96
demo-centro,2025-08-23,2025-08-24,Other Revenue,768.32,0,0
demo-costa,2025-08-23,2025-08-24,Total Rooms in Hotel,140,3220,32900
demo-costa,2025-08-23,2025-08-24,Rooms Occupied minus House Use,68,1354,20541
demo-costa,2025-08-23,2025-08-24,Room Revenue,9743.85,199856.25,3223611.95
demo-costa,2025-08-23,2025-08-24,Total Revenue,12181.54,253954.07,4118553.81
demo-costa,2025-08-23,2025-08-24,Food And Beverage Revenue,2145.38,48102.13,798233.5
demo-costa,2025-08-23,2025-08-24,Other Revenue,292.32,0,0
demo-centro,2025-08-24,2025-08-25,Total Rooms in Hotel,220,5280,51920
demo-centro,2025-08-24,2025-08-25,Rooms Occupied minus House Use,146,3581,33595
demo-centro,2025-08-24,2025-08-25,Room Revenue,24911.62,594535.76,5564909.27
demo-centro,2025-08-24,2025-08-25,Total Revenue,31448.03,759060.81,7127849.57
demo-centro,2025-08-24,2025-08-25,Food And Beverage Revenue,5789.06,146688.98,1395993.02
demo-centro,2025-08-24,2025-08-25,Other Revenue,747.35,0,0
demo-costa,2025-08-24,2025-08-25,Total Rooms in Hotel,140,3360,33040
demo-costa,2025-08-24,2025-08-25,Rooms Occupied minus House Use,49,1403,20590
demo-costa,2025-08-24,2025-08-25,Room Revenue,7129.13,206985.38,3230741.08
