hotel,fecha,tipo,total_occ,arr_rooms,comp_rooms,house_use,deduct_indiv,deduct_group,occ_pct,room_revenue,adr,dep_rooms,day_use,no_show,ooo,personas,fecha_reporte
demo-centro,2024-01-01,History,110,38,0,0,97,13,0.5,17329.68,157.54,36,0,0,0,187,2026-09-25
demo-costa,2024-01-01,History,134,47,0,0,106,28,0.9571,20464.37,152.72,44,0,0,0,228,2026-09-25
demo-centro,2024-01-02,History,118,41,0,0,78,40,0.5364,18546.98,157.18,39,0,0,0,201,2026-09-25
demo-costa,2024-01-02,History,133,47,0,0,110,23,0.95,22060.04,165.86,44,0,0,0,226,2026-09-25
demo-centro,2024-01-03,History,124,43,0,0,109,15,0.5636,18644.11,150.36,41,0,0,0,211,2026-09-25
demo-costa,2024-01-03,History,135,47,0,0,107,28,0.9643,22006.84,163.01,45,0,0,0,230,2026-09-25
demo-centro,2024-01-04,History,117,41,0,0,88,29,0.5318,17693.72,151.23,39,0,0,0,199,2026-09-25
demo-costa,2024-01-04,History,119,42,0,0,95,24,0.85,18327.1,154.01,39,0,0,0,202,2026-09-25
demo-centro,2024-01-05,History,127,44,0,0,104,23,0.5773,20450.48,161.03,42,0,0,0,216,2026-09-25
demo-costa,2024-01-05,History,136,48,0,0,90,46,0.9714,22517.35,165.57,45,0,0,0,231,2026-09-25
demo-centro,2024-01-06,History,124,43,0,0,111,13,0.5636,19569.37,157.82,41,0,0,0,211,2026-09-25
demo-costa,2024-01-06,History,137,48,0,0,113,24,0.9786,21318.95,155.61,45,0,0,0,233,2026-09-25
demo-centro,2024-01-07,History,92,32,0,0,64,28,0.4182,14825.81,161.15,30,0,0,0,156,2026-09-25
demo-costa,2024-01-07,History,124,43,0,0,106,18,0.8857,19162.39,154.54,41,0,0,0,211,2026-09-25
demo-centro,2024-01-08,History,113,40,0,0,91,22,0.5136,17395.45,153.94,37,0,0,0,192,2026-09-25
demo-costa,2024-01-08,History,131,46,0,0,92,39,0.9357,21814.45,166.52,43,0,0,0,223,2026-09-25
demo-centro,2024-01-09,History,125,44,0,0,110,15,0.5682,18550.76,148.41,41,0,0,0,212,2026-09-25
demo-costa,2024-01-09,History,136,48,0,0,103,33,0.9714,20911.1,153.76,45,0,0,0,231,2026-09-25
demo-centro,2024-01-10,History,108,38,0,0,88,20,0.4909,16346.34,151.36,36,0,0,0,184,2026-09-25
demo-costa,2024-01-10,History,127,44,0,0,112,15,0.9071,20303.0,159.87,42,0,0,0,216,2026-09-25
demo-centro,2024-01-11,History,139,49,0,0,120,19,0.6318,21633.76,155.64,46,0,0,0,236,2026-09-25
demo-costa,2024-01-11,History,132,46,0,0,89,43,0.9429,21175.38,160.42,44,0,0,0,224,2026-09-25
demo-centro,2024-01-12,History,116,41,0,0,82,34,0.5273,18522.41,159.68,38,0,0,0,197,2026-09-25
demo-costa,2024-01-12,History,137,48,0,0,98,39,0.9786,21921.29,160.01,45,0,0,0,233,2026-09-25
demo-centro,2024-01-13,History,138,48,0,0,90,48,0.6273,22353.59,161.98,46,0,0,0,235,2026-09-25
demo-costa,2024-01-13,History,137,48,0,0,112,25,0.9786,21871.49,159.65,45,0,0,0,233,2026-09-25
demo-centro,2024-01-14,History,108,38,0,0,78,30,0.4909,16574.77,153.47,36,0,0,0,184,2026-09-25
demo-costa,2024-01-14,History,118,41,0,0,84,34,0.8429,18825.14,159.54,39,0,0,0,201,2026-09-25
demo-centro,2024-01-15,History,102,36,0,0,76,26,0.4636,16077.13,157.62,34,0,0,0,173,2026-09-25
demo-costa,2024-01-15,History,126,44,0,0,113,13,0.9,19431.23,154.22,42,0,0,0,214,2026-09-25
demo-centro,2024-01-16,History,116,41,0,0,96,20,0.5273,17556.42,151.35,38,0,0,0,197,2026-09-25
demo-costa,2024-01-16,History,126,44,0,0,111,15,0.9,20850.01,165.48,42,0,0,0,214,2026-09-25
demo-centro,2024-01-17,History,117,41,0,0,80,37,0.5318,18177.55,155.36,39,0,0,0,199,2026-09-25
demo-costa,2024-01-17,History,133,47,0,0,96,37,0.95,21240.17,159.7,44,0,0,0,226,2026-09-25
demo-centro,2024-01-18,History,114,40,0,0,96,18,0.5182,17799.48,156.14,38,0,0,0,194,2026-09-25
demo-costa,2024-01-18,History,127,44,0,0,85,42,0.9071,20864.59,164.29,42,0,0,0,216,2026-09-25
demo-centro,2024-01-19,History,122,43,0,0,95,27,0.5545,18997.42,155.72,40,0,0,0,207,2026-09-25
demo-costa,2024-01-19,History,137,48,0,0,119,18,0.9786,21141.1,154.31,45,0,0,0,233,2026-09-25
demo-centro,2024-01-20,History,117,41,0,0,101,16,0.5318,18879.34,161.36,39,0,0,0,199,2026-09-25
demo-costa,2024-01-20,History,135,47,0,0,89,46,0.9643,21010.71,155.63,45,0,0,0,230,2026-09-25
demo-centro,2024-01-21,History,116,41,0,0,94,22,0.5273,17861.47,153.98,38,0,0,0,197,2026-09-25
demo-costa,2024-01-21,History,121,42,0,0,108,13,0.8643,19259.76,159.17,40,0,0,0,206,2026-09-25
demo-centro,2024-01-22,History,132,46,0,0,115,17,0.6,21452.74,162.52,44,0,0,0,224,2026-09-25
demo-costa,2024-01-22,History,129,45,0,0,94,35,0.9214,21378.24,165.72,43,0,0,0,219,2026-09-25
demo-centro,2024-01-23,History,103,36,0,0,72,31,0.4682,15632.42,151.77,34,0,0,0,175,2026-09-25
demo-costa,2024-01-23,History,130,46,0,0,89,41,0.9286,19949.76,153.46,43,0,0,0,221,2026-09-25
demo-centro,2024-01-24,History,91,32,0,0,81,10,0.4136,14295.08,157.09,30,0,0,0,155,2026-09-25
demo-costa,2024-01-24,History,137,48,0,0,113,24,0.9786,21282.89,155.35,45,0,0,0,233,2026-09-25
demo-centro,2024-01-25,History,110,38,0,0,98,12,0.5,17916.21,162.87,36,0,0,0,187,2026-09-25
demo-costa,2024-01-25,History,137,48,0,0,108,29,0.9786,21379.22,156.05,45,0,0,0,233,2026-09-25
demo-centro,2024-01-26,History,123,43,0,0,105,18,0.5591,18573.35,151.0,41,0,0,0,209,2026-09-25
demo-costa,2024-01-26,History,137,48,0,0,102,35,0.9786,20871.54,152.35,45,0,0,0,233,2026-09-25
demo-centro,2024-01-27,History,137,48,0,0,115,22,0.6227,20798.74,151.82,45,0,0,0,233,2026-09-25
demo-costa,2024-01-27,History,137,48,0,0,111,26,0.9786,20848.22,152.18,45,0,0,0,233,2026-09-25
demo-centro,2024-01-28,History,106,37,0,0,93,13,0.4818,16180.3,152.64,35,0,0,0,180,2026-09-25
demo-costa,2024-01-28,History,125,44,0,0,110,15,0.8929,19543.59,156.35,41,0,0,0,212,2026-09-25
demo-centro,2024-01-29,History,109,38,0,0,75,34,0.4955,17690.98,162.3,36,0,0,0,185,2026-09-25
demo-costa,2024-01-29,History,128,45,0,0,95,33,0.9143,20053.65,156.67,42,0,0,0,218,2026-09-25
demo-centro,2024-01-30,History,113,40,0,0,101,12,0.5136,18086.36,160.06,37,0,0,0,192,2026-09-25
demo-costa,2024-01-30,History,121,42,0,0,80,41,0.8643,19640.8,162.32,40,0,0,0,206,2026-09-25
demo-centro,2024-01-31,History,107,37,0,0,75,32,0.4864,15781.58,147.49,35,0,0,0,182,2026-09-25
demo-costa,2024-01-31,History,123,43,0,0,96,27,0.8786,20179.35,164.06,41,0,0,0,209,2026-09-25
demo-centro,2024-02-01,History,99,35,0,0,72,27,0.45,15285.13,154.4,33,0,0,0,168,2026-09-25
demo-costa,2024-02-01,History,126,44,0,0,93,33,0.9,19696.97,156.33,42,0,0,0,214,2026-09-25
demo-centro,2024-02-02,History,131,46,0,0,95,36,0.5955,20616.94,157.38,43,0,0,0,223,2026-09-25
demo-costa,2024-02-02,History,137,48,0,0,119,18,0.9786,21709.68,158.46,45,0,0,0,233,2026-09-25
demo-centro,2024-02-03,History,122,43,0,0,79,43,0.5545,18888.33,154.82,40,0,0,0,207,2026-09-25
demo-costa,2024-02-03,History,137,48,0,0,98,39,0.9786,20890.56,152.49,45,0,0,0,233,2026-09-25
demo-centro,2024-02-04,History,115,40,0,0,78,37,0.5227,17314.86,150.56,38,0,0,0,196,2026-09-25
demo-costa,2024-02-04,History,110,38,0,0,79,31,0.7857,17324.58,157.5,36,0,0,0,187,2026-09-25
demo-centro,2024-02-05,History,105,37,0,0,70,35,0.4773,16080.32,153.15,35,0,0,0,178,2026-09-25
demo-costa,2024-02-05,History,131,46,0,0,85,46,0.9357,20605.92,157.3,43,0,0,0,223,2026-09-25
demo-centro,2024-02-06,History,127,44,0,0,85,42,0.5773,19228.2,151.4,42,0,0,0,216,2026-09-25
demo-costa,2024-02-06,History,133,47,0,0,94,39,0.95,21724.7,163.34,44,0,0,0,226,2026-09-25
demo-centro,2024-02-07,History,109,38,0,0,86,23,0.4955,17256.33,158.31,36,0,0,0,185,2026-09-25
demo-costa,2024-02-07,History,123,43,0,0,98,25,0.8786,18913.11,153.77,41,0,0,0,209,2026-09-25
demo-centro,2024-02-08,History,94,33,0,0,69,25,0.4273,13990.65,148.84,31,0,0,0,160,2026-09-25
demo-costa,2024-02-08,History,127,44,0,0,83,44,0.9071,21013.36,165.46,42,0,0,0,216,2026-09-25
demo-centro,2024-02-09,History,129,45,0,0,104,25,0.5864,19598.2,151.92,43,0,0,0,219,2026-09-25
demo-costa,2024-02-09,History,137,48,0,0,116,21,0.9786,22318.51,162.91,45,0,0,0,233,2026-09-25
demo-centro,2024-02-10,History,132,46,0,0,90,42,0.6,20687.78,156.73,44,0,0,0,224,2026-09-25
demo-costa,2024-02-10,History,137,48,0,0,113,24,0.9786,21634.52,157.92,45,0,0,0,233,2026-09-25
demo-centro,2024-02-11,History,115,40,0,0,77,38,0.5227,17033.29,148.12,38,0,0,0,196,2026-09-25
demo-costa,2024-02-11,History,115,40,0,0,99,16,0.8214,17779.97,154.61,38,0,0,0,196,2026-09-25
demo-centro,2024-02-12,History,116,41,0,0,103,13,0.5273,18072.04,155.79,38,0,0,0,197,2026-09-25
demo-costa,2024-02-12,History,125,44,0,0,103,22,0.8929,19078.9,152.63,41,0,0,0,212,2026-09-25
demo-centro,2024-02-13,History,123,43,0,0,102,21,0.5591,19975.19,162.4,41,0,0,0,209,2026-09-25
demo-costa,2024-02-13,History,126,44,0,0,83,43,0.9,19527.26,154.98,42,0,0,0,214,2026-09-25
demo-centro,2024-02-14,History,122,43,0,0,103,19,0.5545,18085.12,148.24,40,0,0,0,207,2026-09-25
demo-costa,2024-02-14,History,119,42,0,0,96,23,0.85,19334.11,162.47,39,0,0,0,202,2026-09-25
demo-centro,2024-02-15,History,102,36,0,0,87,15,0.4636,16201.0,158.83,34,0,0,0,173,2026-09-25
demo-costa,2024-02-15,History,126,44,0,0,85,41,0.9,20254.57,160.75,42,0,0,0,214,2026-09-25
demo-centro,2024-02-16,History,130,46,0,0,115,15,0.5909,19393.35,149.18,43,0,0,0,221,2026-09-25
demo-costa,2024-02-16,History,137,48,0,0,112,25,0.9786,22723.14,165.86,45,0,0,0,233,2026-09-25
demo-centro,2024-02-17,History,140,49,0,0,122,18,0.6364,21536.11,153.83,46,0,0,0,238,2026-09-25
demo-costa,2024-02-17,History,123,43,0,0,104,19,0.8786,20464.98,166.38,41,0,0,0,209,2026-09-25
demo-centro,2024-02-18,History,107,37,0,0,88,19,0.4864,16466.22,153.89,35,0,0,0,182,2026-09-25
demo-costa,2024-02-18,History,125,44,0,0,111,14,0.8929,18962.04,151.7,41,0,0,0,212,2026-09-25
demo-centro,2024-02-19,History,105,37,0,0,78,27,0.4773,16989.14,161.8,35,0,0,0,178,2026-09-25
demo-costa,2024-02-19,History,130,46,0,0,96,34,0.9286,21530.82,165.62,43,0,0,0,221,2026-09-25
demo-centro,2024-02-20,History,120,42,0,0,95,25,0.5455,18104.18,150.87,40,0,0,0,204,2026-09-25
demo-costa,2024-02-20,History,123,43,0,0,101,22,0.8786,19766.76,160.71,41,0,0,0,209,2026-09-25
demo-centro,2024-02-21,History,105,37,0,0,77,28,0.4773,16095.75,153.29,35,0,0,0,178,2026-09-25
demo-costa,2024-02-21,History,128,45,0,0,107,21,0.9143,21344.82,166.76,42,0,0,0,218,2026-09-25
demo-centro,2024-02-22,History,111,39,0,0,81,30,0.5045,17380.54,156.58,37,0,0,0,189,2026-09-25
