hotel,mes,pais,continente,huespedes
demo-centro,2023-01,ARGENTINA,AMÉRICA,1257
demo-centro,2023-01,ESTADOS UNIDOS,AMÉRICA,1372
demo-centro,2023-01,BRASIL,AMÉRICA,381
demo-centro,2023-01,CHILE,AMÉRICA,145
demo-centro,2023-01,MÉXICO,AMÉRICA,79
demo-centro,2023-01,ESPAÑA,EUROPA,112
demo-centro,2023-01,ALEMANIA,EUROPA,60
demo-centro,2023-01,CHINA,ASIA,91
demo-centro,2023-01,JAPÓN,ASIA,33
demo-centro,2023-01,AUSTRALIA,OCEANÍA,38
demo-centro,2023-01,OTROS,SIN REFERENCIA,59
demo-centro,2023-02,ARGENTINA,AMÉRICA,1233
demo-centro,2023-02,ESTADOS UNIDOS,AMÉRICA,1344
demo-centro,2023-02,BRASIL,AMÉRICA,316
demo-centro,2023-02,CHILE,AMÉRICA,138
demo-centro,2023-02,MÉXICO,AMÉRICA,124
demo-centro,2023-02,ESPAÑA,EUROPA,89
demo-centro,2023-02,ALEMANIA,EUROPA,50
demo-centro,2023-02,CHINA,ASIA,96
demo-centro,2023-02,JAPÓN,ASIA,38
demo-centro,2023-02,AUSTRALIA,OCEANÍA,24
demo-centro,2023-02,OTROS,SIN REFERENCIA,53
demo-centro,2023-03,ARGENTINA,AMÉRICA,1806
demo-centro,2023-03,ESTADOS UNIDOS,AMÉRICA,1136
demo-centro,2023-03,BRASIL,AMÉRICA,362
demo-centro,2023-03,CHILE,AMÉRICA,103
demo-centro,2023-03,MÉXICO,AMÉRICA,102
demo-centro,2023-03,ESPAÑA,EUROPA,68
demo-centro,2023-03,ALEMANIA,EUROPA,53
demo-centro,2023-03,CHINA,ASIA,89
demo-centro,2023-03,JAPÓN,ASIA,45
demo-centro,2023-03,AUSTRALIA,OCEANÍA,34
demo-centro,2023-03,OTROS,SIN REFERENCIA,49
demo-centro,2023-04,ARGENTINA,AMÉRICA,1588
demo-centro,2023-04,ESTADOS UNIDOS,AMÉRICA,1430
