hotel,fecha_reporte,mes,noches,grupo,occ_pct,revenue,adr
demo-centro,2026-06-27,2026-06,2769,644,0.4195,475525.68,171.74
demo-costa,2026-06-27,2026-06,1205,265,0.287,183556.99,152.3
demo-centro,2026-06-27,2026-07,3610,814,0.5469,639249.53,177.08
demo-costa,2026-06-27,2026-07,1418,349,0.3377,221685.93,156.32
demo-centro,2026-06-27,2026-08,3255,823,0.4931,562166.83,172.73
demo-costa,2026-06-27,2026-08,1104,236,0.2628,170867.87,154.83
demo-centro,2026-06-28,2026-06,3106,723,0.4707,533477.43,171.74
demo-costa,2026-06-28,2026-06,1228,270,0.2923,186955.7,152.3
demo-centro,2026-06-28,2026-07,3639,820,0.5514,644417.4,177.08
demo-costa,2026-06-28,2026-07,1626,400,0.387,254110.84,156.32
demo-centro,2026-06-28,2026-08,2806,709,0.4251,484675.84,172.73
demo-costa,2026-06-28,2026-08,1212,260,0.2887,187718.47,154.83
demo-centro,2026-06-29,2026-06,2884,671,0.437,495331.11,171.74
demo-costa,2026-06-29,2026-06,1112,244,0.2647,169296.64,152.3
demo-centro,2026-06-29,2026-07,3688,831,0.5587,653004.77,177.08
demo-costa,2026-06-29,2026-07,1557,383,0.3708,243461.69,156.32
demo-centro,2026-06-29,2026-08,2919,738,0.4423,504265.35,172.73
demo-costa,2026-06-29,2026-08,1152,247,0.2744,178428.03,154.83
demo-centro,2026-06-30,2026-06,2667,620,0.4041,457986.44,171.74
demo-costa,2026-06-30,2026-06,1088,239,0.259,165676.39,152.3
demo-centro,2026-06-30,2026-07,3125,704,0.4736,553475.25,177.08
demo-costa,2026-06-30,2026-07,1598,393,0.3804,249736.41,156.32
demo-centro,2026-06-30,2026-08,2967,750,0.4496,512540.37,172.73
demo-costa,2026-06-30,2026-08,1201,257,0.2859,185905.58,154.83
demo-centro,2026-07-01,2026-07,3600,811,0.5454,637452.37,177.08
demo-costa,2026-07-01,2026-07,1483,365,0.3531,231841.19,156.32
demo-centro,2026-07-01,2026-08,3110,786,0.4712,537214.8,172.73
demo-costa,2026-07-01,2026-08,1202,257,0.2862,186112.7,154.83
demo-centro,2026-07-01,2026-09,3199,710,0.4847,563879.05,176.28
demo-costa,2026-07-01,2026-09,1624,336,0.3866,258191.65,159.03
demo-centro,2026-07-02,2026-07,3505,790,0.5311,620758.45,177.08
