fecha,hotel_id,pais,iso2,huespedes
2024-01-01,hotel-demo-1,Argentina,AR,55
2024-01-01,hotel-demo-1,Brasil,BR,13
2024-01-01,hotel-demo-1,Chile,CL,6
2024-01-01,hotel-demo-1,Uruguay,UY,7
2024-01-01,hotel-demo-1,Estados Unidos,US,6
2024-01-01,hotel-demo-1,España,ES,4
2024-01-01,hotel-demo-1,Alemania,DE,3
2024-01-01,hotel-demo-1,Francia,FR,2
2024-01-01,hotel-demo-1,México,MX,28
2024-01-01,hotel-demo-2,Argentina,AR,60
2024-01-01,hotel-demo-2,Brasil,BR,22
2024-01-01,hotel-demo-2,Chile,CL,7
2024-01-01,hotel-demo-2,Uruguay,UY,5
2024-01-01,hotel-demo-2,Estados Unidos,US,5
2024-01-01,hotel-demo-2,España,ES,4
2024-01-01,hotel-demo-2,Alemania,DE,3
2024-01-01,hotel-demo-2,Francia,FR,2
2024-01-01,hotel-demo-2,México,MX,13
2024-01-02,hotel-demo-1,Argentina,AR,58
2024-01-02,hotel-demo-1,Brasil,BR,20
2024-01-02,hotel-demo-1,Chile,CL,9
2024-01-02,hotel-demo-1,Uruguay,UY,8
2024-01-02,hotel-demo-1,Estados Unidos,US,8
2024-01-02,hotel-demo-1,España,ES,5
2024-01-02,hotel-demo-1,Alemania,DE,2
2024-01-02,hotel-demo-1,Francia,FR,2
2024-01-02,hotel-demo-1,México,MX,15
2024-01-02,hotel-demo-2,Argentina,AR,76
2024-01-02,hotel-demo-2,Brasil,BR,16
2024-01-02,hotel-demo-2,Chile,CL,6
2024-01-02,hotel-demo-2,Uruguay,UY,6
2024-01-02,hotel-demo-2,Estados Unidos,US,5
2024-01-02,hotel-demo-2,España,ES,4
2024-01-03,hotel-demo-1,Argentina,AR,81
2024-01-03,hotel-demo-1,Brasil,BR,13
2024-01-03,hotel-demo-1,Chile,CL,7
2024-01-03,hotel-demo-1,Uruguay,UY,5
2024-01-03,hotel-demo-1,Estados Unidos,US,1
2024-01-03,hotel-demo-2,Argentina,AR,57
2024-01-03,hotel-demo-2,Brasil,BR,16
2024-01-03,hotel-demo-2,Chile,CL,8
2024-01-03,hotel-demo-2,Uruguay,UY,7
2024-01-03,hotel-demo-2,Estados Unidos,US,5
2024-01-03,hotel-demo-2,España,ES,3
2024-01-03,hotel-demo-2,Alemania,DE,3
2024-01-03,hotel-demo-2,Francia,FR,2
2024-01-03,hotel-demo-2,México,MX,17
2024-01-04,hotel-demo-1,Argentina,AR,61
2024-01-04,hotel-demo-1,Brasil,BR,12
2024-01-04,hotel-demo-1,Chile,CL,6
2024-01-04,hotel-demo-1,Uruguay,UY,4
2024-01-04,hotel-demo-1,Estados Unidos,US,5
2024-01-04,hotel-demo-1,España,ES,3
2024-01-04,hotel-demo-1,Alemania,DE,2
2024-01-04,hotel-demo-1,Francia,FR,2
2024-01-04,hotel-demo-1,México,MX,2
2024-01-04,hotel-demo-2,Argentina,AR,69
2024-01-04,hotel-demo-2,Brasil,BR,13
2024-01-04,hotel-demo-2,Chile,CL,6
2024-01-04,hotel-demo-2,Uruguay,UY,4
2024-01-04,hotel-demo-2,Estados Unidos,US,7
2024-01-04,hotel-demo-2,España,ES,4
2024-01-04,hotel-demo-2,Alemania,DE,3
2024-01-04,hotel-demo-2,Francia,FR,2
2024-01-04,hotel-demo-2,México,MX,2
2024-01-05,hotel-demo-1,Argentina,AR,55
2024-01-05,hotel-demo-1,Brasil,BR,16
2024-01-05,hotel-demo-1,Chile,CL,5
2024-01-05,hotel-demo-1,Uruguay,UY,7
2024-01-05,hotel-demo-1,Estados Unidos,US,7
2024-01-05,hotel-demo-1,España,ES,3
2024-01-05,hotel-demo-1,Alemania,DE,2
2024-01-05,hotel-demo-1,Francia,FR,2
2024-01-05,hotel-demo-1,México,MX,20
2024-01-05,hotel-demo-2,Argentina,AR,92
2024-01-05,hotel-demo-2,Brasil,BR,17
2024-01-05,hotel-demo-2,Chile,CL,9
2024-01-05,hotel-demo-2,Uruguay,UY,6
2024-01-05,hotel-demo-2,Estados Unidos,US,7
2024-01-06,hotel-demo-1,Argentina,AR,64
2024-01-06,hotel-demo-1,Brasil,BR,16
2024-01-06,hotel-demo-1,Chile,CL,9
2024-01-06,hotel-demo-1,Uruguay,UY,6
2024-01-06,hotel-demo-1,Estados Unidos,US,5
2024-01-06,hotel-demo-1,España,ES,5
2024-01-06,hotel-demo-1,Alemania,DE,3
2024-01-06,hotel-demo-1,Francia,FR,2
2024-01-06,hotel-demo-1,México,MX,28
2024-01-06,hotel-demo-2,Argentina,AR,82
2024-01-06,hotel-demo-2,Brasil,BR,18
2024-01-06,hotel-demo-2,Chile,CL,9
2024-01-06,hotel-demo-2,Uruguay,UY,4
2024-01-06,hotel-demo-2,Estados Unidos,US,3
2024-01-07,hotel-demo-1,Argentina,AR,50
2024-01-07,hotel-demo-1,Brasil,BR,16
2024-01-07,hotel-demo-1,Chile,CL,7
2024-01-07,hotel-demo-1,Uruguay,UY,4
2024-01-07,hotel-demo-1,Estados Unidos,US,4
2024-01-07,hotel-demo-1,España,ES,4
2024-01-07,hotel-demo-1,Alemania,DE,2
2024-01-07,hotel-demo-1,Francia,FR,2
2024-01-07,hotel-demo-1,México,MX,17
2024-01-07,hotel-demo-2,Argentina,AR,79
2024-01-07,hotel-demo-2,Brasil,BR,15
2024-01-07,hotel-demo-2,Chile,CL,6
2024-01-07,hotel-demo-2,Uruguay,UY,7
2024-01-07,hotel-demo-2,Estados Unidos,US,2
2024-01-08,hotel-demo-1,Argentina,AR,63
2024-01-08,hotel-demo-1,Brasil,BR,10
2024-01-08,hotel-demo-1,Chile,CL,6
2024-01-08,hotel-demo-1,Uruguay,UY,6
2024-01-08,hotel-demo-1,Estados Unidos,US,4
2024-01-08,hotel-demo-1,España,ES,2
2024-01-08,hotel-demo-1,Alemania,DE,2
2024-01-08,hotel-demo-1,Francia,FR,1
2024-01-08,hotel-demo-1,México,MX,6
2024-01-08,hotel-demo-2,Argentina,AR,89
2024-01-08,hotel-demo-2,Brasil,BR,13
2024-01-08,hotel-demo-2,Chile,CL,8
2024-01-08,hotel-demo-2,Uruguay,UY,4
2024-01-09,hotel-demo-1,Argentina,AR,68
2024-01-09,hotel-demo-1,Brasil,BR,13
2024-01-09,hotel-demo-1,Chile,CL,6
2024-01-09,hotel-demo-1,Uruguay,UY,5
2024-01-09,hotel-demo-1,Estados Unidos,US,6
2024-01-09,hotel-demo-1,España,ES,4
2024-01-09,hotel-demo-1,Alemania,DE,2
2024-01-09,hotel-demo-1,Francia,FR,2
2024-01-09,hotel-demo-1,México,MX,15
2024-01-09,hotel-demo-2,Argentina,AR,54
2024-01-09,hotel-demo-2,Brasil,BR,12
2024-01-09,hotel-demo-2,Chile,CL,7
2024-01-09,hotel-demo-2,Uruguay,UY,5
2024-01-09,hotel-demo-2,Estados Unidos,US,6
2024-01-09,hotel-demo-2,España,ES,4
2024-01-09,hotel-demo-2,Alemania,DE,2
2024-01-09,hotel-demo-2,Francia,FR,2
2024-01-09,hotel-demo-2,México,MX,22
